COUNTRY_CODE,COUNTRY,GHE_CAUSE_CODE,GHE_CAUSE_TYPE,GHE_CAUSE_TITLE,YEAR,SEX_CODE,AGEGROUP_CODE,POPULATION,DEATHS,DEATHS_RATE,DEATHS_100K,DALY,DALY_RATE,DALY_100K
USA,United States of America,320,"Communicable, maternal, perinatal and nutritional conditions",Rabies,2000,FMLE,YEARS0-1,1820819.0,7.2,3.96e-06,0.4,646.1,0.00035484,35.5
USA,United States of America,130,"Communicable, maternal, perinatal and nutritional conditions",Whooping cough,2000,FMLE,YEARS0-1,1820819.0,5.2,2.87e-06,0.3,875.1,0.00048063,48.1
USA,United States of America,970,Noncommunicable diseases,Epilepsy,2000,FMLE,YEARS0-1,1820819.0,5.6,3.08e-06,0.3,1357.6,0.00074558,74.6
USA,United States of America,800,Noncommunicable diseases,Diabetes mellitus,2000,FMLE,YEARS0-1,1820819.0,5.4,2.94e-06,0.3,480.0,0.00026364,26.4
USA,United States of America,1540,Injuries,Poisonings,2000,FMLE,YEARS0-1,1820819.0,5.9,3.26e-06,0.3,548.4,0.00030117,30.1
USA,United States of America,812,Noncommunicable diseases,Sickle cell disorders and trait,2000,FMLE,YEARS0-1,1820819.0,3.4,1.86e-06,0.2,384.5,0.00021115,21.1
USA,United States of America,400,"Communicable, maternal, perinatal and nutritional conditions",Upper respiratory infections,2000,FMLE,YEARS0-1,1820819.0,4.0,2.21e-06,0.2,3111.0,0.0017086,170.9
USA,United States of America,1330,Noncommunicable diseases,Skin diseases,2000,FMLE,YEARS0-1,1820819.0,2.3,1.29e-06,0.1,1984.1,0.00108969,109.0
USA,United States of America,150,"Communicable, maternal, perinatal and nutritional conditions",Measles,2000,FMLE,YEARS0-1,1820819.0,1.0,5.7e-07,0.1,93.6,5.14e-05,5.1
USA,United States of America,660,Noncommunicable diseases,Liver cancer,2000,FMLE,YEARS0-1,1820819.0,2.0,1.12e-06,0.1,184.5,0.00010132,10.1
USA,United States of America,186,"Communicable, maternal, perinatal and nutritional conditions",Acute hepatitis A,2000,FMLE,YEARS0-1,1820819.0,1.2,6.7e-07,0.1,109.4,6.01e-05,6.0
USA,United States of America,190,"Communicable, maternal, perinatal and nutritional conditions",Acute hepatitis B,2000,FMLE,YEARS0-1,1820819.0,1.5,8.4e-07,0.1,137.0,7.526e-05,7.5
USA,United States of America,30,"Communicable, maternal, perinatal and nutritional conditions",Tuberculosis,2000,FMLE,YEARS0-1,1820819.0,1.0,5.7e-07,0.1,95.6,5.25e-05,5.2
USA,United States of America,811,Noncommunicable diseases,Thalassaemias,2000,FMLE,YEARS0-1,1820819.0,1.3,7.2e-07,0.1,211.4,0.0001161,11.6
USA,United States of America,745,Noncommunicable diseases,Kidney cancer,2000,FMLE,YEARS0-1,1820819.0,1.2,6.6e-07,0.1,123.0,6.757e-05,6.8
USA,United States of America,100,"Communicable, maternal, perinatal and nutritional conditions",HIV/AIDS,2000,FMLE,YEARS0-1,1820819.0,2.1,1.15e-06,0.1,191.3,0.00010508,10.5
USA,United States of America,50,"Communicable, maternal, perinatal and nutritional conditions",Syphilis,2000,FMLE,YEARS0-1,1820819.0,1.7,9.2e-07,0.1,151.2,8.303e-05,8.3
USA,United States of America,410,"Communicable, maternal, perinatal and nutritional conditions",Otitis media,2000,FMLE,YEARS0-1,1820819.0,1.2,6.6e-07,0.1,506.6,0.00027822,27.8
USA,United States of America,1280,Noncommunicable diseases,Benign prostatic hyperplasia,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,240,"Communicable, maternal, perinatal and nutritional conditions",Chagas disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,140,"Communicable, maternal, perinatal and nutritional conditions",Diphtheria,2000,FMLE,YEARS0-1,1820819.0,0.0,2e-08,0.0,3.7,2.03e-06,0.2
USA,United States of America,630,Noncommunicable diseases,Oesophagus cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1110,Noncommunicable diseases,Rheumatic heart disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1040,Noncommunicable diseases,Cataracts,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,860,Noncommunicable diseases,Alcohol use disorders,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,18.2,9.99e-06,1.0
USA,United States of America,1190,Noncommunicable diseases,Asthma,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,205,"Communicable, maternal, perinatal and nutritional conditions",Acute hepatitis E,2000,FMLE,YEARS0-1,1820819.0,0.4,1.9e-07,0.0,31.5,1.733e-05,1.7
USA,United States of America,362,"Communicable, maternal, perinatal and nutritional conditions",Food-bourne trematodes,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,60,"Communicable, maternal, perinatal and nutritional conditions",Chlamydia,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,680,Noncommunicable diseases,"Trachea, bronchus, lung cancers",2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,200,"Communicable, maternal, perinatal and nutritional conditions",Acute hepatitis C,2000,FMLE,YEARS0-1,1820819.0,0.2,1e-07,0.0,19.0,1.044e-05,1.0
USA,United States of America,365,"Communicable, maternal, perinatal and nutritional conditions",Leprosy,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1070,Noncommunicable diseases,Other vision loss,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,12.7,6.99e-06,0.7
USA,United States of America,740,Noncommunicable diseases,Prostate cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,880,Noncommunicable diseases,Anxiety disorders,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,270,"Communicable, maternal, perinatal and nutritional conditions",Lymphatic filariasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,742,Noncommunicable diseases,Testicular cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1080,Noncommunicable diseases,Other hearing loss,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,87.1,4.781e-05,4.8
USA,United States of America,1000,Noncommunicable diseases,Non-migraine headache,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,950,Noncommunicable diseases,Alzheimer disease and other dementias,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1050,Noncommunicable diseases,Uncorrected refractive errors,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,845.9,0.00046457,46.5
USA,United States of America,670,Noncommunicable diseases,Pancreas cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1350,Noncommunicable diseases,Rheumatoid arthritis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,900,Noncommunicable diseases,Autism and Asperger syndrome,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,724.6,0.00039793,39.8
USA,United States of America,710,Noncommunicable diseases,Cervix uteri cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,85,"Communicable, maternal, perinatal and nutritional conditions",Genital herpes,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1244,Noncommunicable diseases,Inflammatory bowel disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1360,Noncommunicable diseases,Osteoarthritis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,960,Noncommunicable diseases,Parkinson disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1310,Noncommunicable diseases,Infertility,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,350,"Communicable, maternal, perinatal and nutritional conditions",Trichuriasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1248,Noncommunicable diseases,Pancreatitis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1240,Noncommunicable diseases,Appendicitis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,910,Noncommunicable diseases,Childhood behavioural disorders,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1241,Noncommunicable diseases,Gastritis and duodenitis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1130,Noncommunicable diseases,Ischaemic heart disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,753,Noncommunicable diseases,Larynx cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,340,"Communicable, maternal, perinatal and nutritional conditions",Ascariasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,690,Noncommunicable diseases,Melanoma and other skin cancers,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,17.3,9.5e-06,1.0
USA,United States of America,1060,Noncommunicable diseases,Macular degeneration,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,640,Noncommunicable diseases,Stomach cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1290,Noncommunicable diseases,Urolithiasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1580,Injuries,Natural disasters,2000,FMLE,YEARS0-1,1820819.0,0.6,3.2e-07,0.0,52.2,2.868e-05,2.9
USA,United States of America,360,"Communicable, maternal, perinatal and nutritional conditions",Hookworm disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,300,"Communicable, maternal, perinatal and nutritional conditions",Dengue,2000,FMLE,YEARS0-1,1820819.0,0.0,1e-08,0.0,2.6,1.43e-06,0.1
USA,United States of America,315,"Communicable, maternal, perinatal and nutritional conditions",Yellow fever,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,285,"Communicable, maternal, perinatal and nutritional conditions",Cysticercosis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1380,Noncommunicable diseases,Back and neck pain,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,730,Noncommunicable diseases,Ovary cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,80,"Communicable, maternal, perinatal and nutritional conditions",Trichomoniasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,720,Noncommunicable diseases,Corpus uteri cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1370,Noncommunicable diseases,Gout,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,980,Noncommunicable diseases,Multiple sclerosis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,754,Noncommunicable diseases,Thyroid cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1610,Injuries,Self-harm,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,420,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,650,Noncommunicable diseases,Colon and rectum cancers,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1320,Noncommunicable diseases,Gynecological diseases,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1246,Noncommunicable diseases,Gallbladder and biliary diseases,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,620,Noncommunicable diseases,Mouth and oropharynx cancers,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,840,Noncommunicable diseases,Bipolar disorder,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,250,"Communicable, maternal, perinatal and nutritional conditions",Schistosomiasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1470,Noncommunicable diseases,Oral conditions,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,850,Noncommunicable diseases,Schizophrenia,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,580,"Communicable, maternal, perinatal and nutritional conditions",Iron-deficiency anaemia,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,1512.7,0.00083079,83.1
USA,United States of America,990,Noncommunicable diseases,Migraine,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,890,Noncommunicable diseases,Eating disorders,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,870,Noncommunicable diseases,Drug use disorders,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,295,"Communicable, maternal, perinatal and nutritional conditions",Echinococcosis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,220,"Communicable, maternal, perinatal and nutritional conditions",Malaria,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1630,Injuries,Collective violence and legal intervention,2000,FMLE,YEARS0-1,1820819.0,0.7,4.1e-07,0.0,67.4,3.701e-05,3.7
USA,United States of America,160,"Communicable, maternal, perinatal and nutritional conditions",Tetanus,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,310,"Communicable, maternal, perinatal and nutritional conditions",Trachoma,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1120,Noncommunicable diseases,Hypertensive heart disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,260,"Communicable, maternal, perinatal and nutritional conditions",Leishmaniasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,750,Noncommunicable diseases,Bladder cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,70,"Communicable, maternal, perinatal and nutritional conditions",Gonorrhoea,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,755,Noncommunicable diseases,Mesothelioma,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,752,Noncommunicable diseases,Gallbladder and biliary tract cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1230,Noncommunicable diseases,Cirrhosis of the liver,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,2.2,1.18e-06,0.1
USA,United States of America,1180,Noncommunicable diseases,Chronic obstructive pulmonary disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,17.7,9.75e-06,1.0
USA,United States of America,760,Noncommunicable diseases,"Lymphomas, multiple myeloma",2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,920,Noncommunicable diseases,Idiopathic intellectual disability,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,527.8,0.00028987,29.0
USA,United States of America,280,"Communicable, maternal, perinatal and nutritional conditions",Onchocerciasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,230,"Communicable, maternal, perinatal and nutritional conditions",African trypanosomiasis,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,1030,Noncommunicable diseases,Glaucoma,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,700,Noncommunicable diseases,Breast cancer,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,830,Noncommunicable diseases,Depressive disorders,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,560,"Communicable, maternal, perinatal and nutritional conditions",Iodine deficiency,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.1,7e-08,0.0
USA,United States of America,1220,Noncommunicable diseases,Peptic ulcer disease,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,United States of America,570,"Communicable, maternal, perinatal and nutritional conditions",Vitamin A deficiency,2000,FMLE,YEARS0-1,1820819.0,0.0,0.0,0.0,23.5,1.293e-05,1.3
USA,United States of America,1400,Noncommunicable diseases,Congenital anomalies,2000,FMLE,YEARS1-4,7742857.0,368.2,4.756e-05,4.8,45586.0,0.00588749,588.7
USA,United States of America,1530,Injuries,Road injury,2000,FMLE,YEARS1-4,7742857.0,254.5,3.287e-05,3.3,22253.3,0.00287405,287.4
USA,United States of America,1620,Injuries,Interpersonal violence,2000,FMLE,YEARS1-4,7742857.0,188.9,2.44e-05,2.4,16605.0,0.00214456,214.5
USA,United States of America,1570,Injuries,Drowning,2000,FMLE,YEARS1-4,7742857.0,170.0,2.196e-05,2.2,14839.8,0.00191658,191.7
USA,United States of America,390,"Communicable, maternal, perinatal and nutritional conditions",Lower respiratory infections,2000,FMLE,YEARS1-4,7742857.0,120.2,1.552e-05,1.6,10861.5,0.00140277,140.3
USA,United States of America,1560,Injuries,"Fire, heat and hot substances",2000,FMLE,YEARS1-4,7742857.0,118.4,1.53e-05,1.5,10478.8,0.00135335,135.3
USA,United States of America,770,Noncommunicable diseases,Leukaemia,2000,FMLE,YEARS1-4,7742857.0,76.8,9.92e-06,1.0,6878.2,0.00088833,88.8
USA,United States of America,490,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,2000,FMLE,YEARS1-4,7742857.0,68.3,8.82e-06,0.9,32543.2,0.00420299,420.3
USA,United States of America,110,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,2000,FMLE,YEARS1-4,7742857.0,69.0,8.91e-06,0.9,14459.1,0.00186741,186.7
USA,United States of America,751,Noncommunicable diseases,Brain and nervous system cancers,2000,FMLE,YEARS1-4,7742857.0,52.0,6.71e-06,0.7,4650.4,0.00060061,60.1
USA,United States of America,1150,Noncommunicable diseases,"Cardiomyopathy, myocarditis, endocarditis",2000,FMLE,YEARS1-4,7742857.0,47.5,6.14e-06,0.6,4304.0,0.00055587,55.6
USA,United States of America,170,"Communicable, maternal, perinatal and nutritional conditions",Meningitis,2000,FMLE,YEARS1-4,7742857.0,42.0,5.42e-06,0.5,3694.9,0.00047721,47.7
USA,United States of America,1575,Injuries,Exposure to mechanical forces,2000,FMLE,YEARS1-4,7742857.0,27.5,3.55e-06,0.4,2857.8,0.00036909,36.9
USA,United States of America,1140,Noncommunicable diseases,Stroke,2000,FMLE,YEARS1-4,7742857.0,16.6,2.14e-06,0.2,2018.9,0.00026075,26.1
USA,United States of America,970,Noncommunicable diseases,Epilepsy,2000,FMLE,YEARS1-4,7742857.0,12.8,1.66e-06,0.2,7098.8,0.00091682,91.7
USA,United States of America,1230,Noncommunicable diseases,Cirrhosis of the liver,2000,FMLE,YEARS1-4,7742857.0,11.9,1.54e-06,0.2,1067.0,0.0001378,13.8
USA,United States of America,1550,Injuries,Falls,2000,FMLE,YEARS1-4,7742857.0,16.7,2.16e-06,0.2,2517.6,0.00032515,32.5
USA,United States of America,1540,Injuries,Poisonings,2000,FMLE,YEARS1-4,7742857.0,14.2,1.84e-06,0.2,1477.3,0.0001908,19.1
USA,United States of America,812,Noncommunicable diseases,Sickle cell disorders and trait,2000,FMLE,YEARS1-4,7742857.0,7.5,9.7e-07,0.1,833.1,0.00010759,10.8
USA,United States of America,1244,Noncommunicable diseases,Inflammatory bowel disease,2000,FMLE,YEARS1-4,7742857.0,11.2,1.45e-06,0.1,980.2,0.00012659,12.7
USA,United States of America,660,Noncommunicable diseases,Liver cancer,2000,FMLE,YEARS1-4,7742857.0,6.6,8.5e-07,0.1,576.3,7.443e-05,7.4
USA,United States of America,1270,Noncommunicable diseases,Kidney diseases,2000,FMLE,YEARS1-4,7742857.0,6.9,8.9e-07,0.1,1164.6,0.00015041,15.0
USA,United States of America,800,Noncommunicable diseases,Diabetes mellitus,2000,FMLE,YEARS1-4,7742857.0,4.5,5.9e-07,0.1,623.5,8.052e-05,8.1
USA,United States of America,1190,Noncommunicable diseases,Asthma,2000,FMLE,YEARS1-4,7742857.0,11.5,1.49e-06,0.1,25019.4,0.00323129,323.1
USA,United States of America,100,"Communicable, maternal, perinatal and nutritional conditions",HIV/AIDS,2000,FMLE,YEARS1-4,7742857.0,8.8,1.13e-06,0.1,781.9,0.00010099,10.1
USA,United States of America,1242,Noncommunicable diseases,Paralytic ileus and intestinal obstruction,2000,FMLE,YEARS1-4,7742857.0,9.1,1.18e-06,0.1,880.3,0.0001137,11.4
USA,United States of America,180,"Communicable, maternal, perinatal and nutritional conditions",Encephalitis,2000,FMLE,YEARS1-4,7742857.0,11.5,1.49e-06,0.1,1012.4,0.00013075,13.1
USA,United States of America,1630,Injuries,Collective violence and legal intervention,2000,FMLE,YEARS1-4,7742857.0,4.2,5.4e-07,0.1,367.7,4.749e-05,4.7
USA,United States of America,30,"Communicable, maternal, perinatal and nutritional conditions",Tuberculosis,2000,FMLE,YEARS1-4,7742857.0,5.5,7.1e-07,0.1,488.8,6.313e-05,6.3
USA,United States of America,400,"Communicable, maternal, perinatal and nutritional conditions",Upper respiratory infections,2000,FMLE,YEARS1-4,7742857.0,5.7,7.3e-07,0.1,13316.0,0.00171978,172.0
USA,United States of America,811,Noncommunicable diseases,Thalassaemias,2000,FMLE,YEARS1-4,7742857.0,5.2,6.7e-07,0.1,695.0,8.976e-05,9.0
USA,United States of America,320,"Communicable, maternal, perinatal and nutritional conditions",Rabies,2000,FMLE,YEARS1-4,7742857.0,7.6,9.8e-07,0.1,659.1,8.512e-05,8.5
USA,United States of America,745,Noncommunicable diseases,Kidney cancer,2000,FMLE,YEARS1-4,7742857.0,7.9,1.02e-06,0.1,758.9,9.802e-05,9.8
USA,United States of America,1110,Noncommunicable diseases,Rheumatic heart disease,2000,FMLE,YEARS1-4,7742857.0,1.5,2e-07,0.0,148.2,1.914e-05,1.9
USA,United States of America,840,Noncommunicable diseases,Bipolar disorder,2000,FMLE,YEARS1-4,7742857.0,0.0,0.0,0.0,0.0,0.0,0.0
